ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
100|Control Magic|{2}{U}{U}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.|Limited Edition Alpha|Uncommon|mono|4|0.0|||4.667|Dameon Willich||You take control of a creature, but Auras enchanting and Equipment attached to the creature do not change controller.|Enchant creature<br>You control enchanted creature.|0
102|Counterspell|{U}{U}|Instant|||Counter target spell.|Limited Edition Alpha|Uncommon|mono|2|0.0|||4.797|Mark Poole|||Counter target spell.|0
103|Creature Bond|{1}{U}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.|Limited Edition Alpha|Common|mono|2|0.0|||2.368|Anson Maddocks|||Enchant creature<br>When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.|0
104|Drain Power|{U}{U}|Sorcery|||Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.|Limited Edition Alpha|Rare|mono|2|0.0|||3.556|Douglas Schuler|||Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.|0
105|Feedback|{2}{U}|Enchantment - Aura|||Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.|Limited Edition Alpha|Uncommon|mono|3|0.0|||1.706|Quinton Hoover|||Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.|0
10|Crystal Rod|{1}|Artifact|||Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.|Limited Edition Alpha|Uncommon|colorless|1|0.0|||1.286|Amy Weber|||Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.|0
111|Magical Hack|{U}|Instant|||Change the text of target spell or permanent by replacing all instances of one basic land type with another. <i>(For example, you may change "swampwalk" to "plainswalk." This effect lasts indefinitely.)</i>|Limited Edition Alpha|Rare|mono|1|0.0|||3.109|Julie Baroh|||Change the text of target spell or permanent by replacing all instances of one basic land type with another. <i>(For example, you may change "swampwalk" to "plainswalk." This effect lasts indefinitely.)</i>|0
114|Merfolk of the Pearl Trident|{U}|Creature - Merfolk|1|1||Limited Edition Alpha|Common|mono|1|0.0|||1.667|Jeff A. Menges||||0
115|Phantasmal Forces|{3}{U}|Creature - Illusion|4|1|Flying<br>At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.|Limited Edition Alpha|Uncommon|mono|4|0.0|||2.737|Mark Poole|||Flying<br>At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.|0
117|Phantom Monster|{3}{U}|Creature - Illusion|3|3|Flying|Limited Edition Alpha|Uncommon|mono|4|0.0|||3.28|Jesper Myrfors|||Flying|0
